sampleID,forwardReads,reverseReads,sample_type,blank_type
BacBlank_seq,raw/raw-data/Bac/Water/RID001305BacBlank_S219_L001_R1_001.fastq.gz,raw/raw-data/Bac/Water/RID001305BacBlank_S219_L001_R2_001.fastq.gz,blank,sequencing
BacBlank_ext,raw/raw-data/Bac/Water/RID001305BacZymo_S220_L001_R1_001.fastq.gz,raw/raw-data/Bac/Water/RID001305BacZymo_S220_L001_R2_001.fastq.gz,blank,extraction
