sampleID,forwardReads,reverseReads,sample_type,blank_type
FungBlank_seq,raw/raw-data/Fung/Water/RID001311Blank_S39_L001_R1_001.fastq.gz,raw/raw-data/Fung/Water/RID001311Blank_S39_L001_R2_001.fastq.gz,blank,sequencing
FungBlank_ext,raw/raw-data/Fung/Water/RID001311Zymo_S40_L001_R1_001.fastq.gz,raw/raw-data/Fung/Water/RID001311Zymo_S40_L001_R2_001.fastq.gz,blank,extraction
