sampleID,forwardReads,reverseReads,sample_type,blank_type
ArchBlank_seq,raw/raw-data/Arch/Water/RID001305ArchBlank_S2_L001_R1_001.fastq.gz,raw/raw-data/Arch/Water/RID001305ArchBlank_S2_L001_R2_001.fastq.gz,blank,sequencing
ArchBlank_ext,raw/raw-data/Arch/Water/RID001305ArchZymo_S200_L001_R1_001.fastq.gz,raw/raw-data/Arch/Water/RID001305ArchZymo_S200_L001_R2_001.fastq.gz,blank,extraction
